1	5
2	8
3	16
4	17
5	23
6	25
7	27
8	31
9	32
10	34
11	39
12	43
13	46
14	49
15	52
16	55
17	61
18	64
19	79
20	82
21	85
22	88
23	91
24	94
25	97
26	100
27	103
28	7
29	9
30	10
31	14
32	14
33	19
34	11
35	11
36	11
37	11
38	11
39	11
40	11
41	11
42	11
43	11
44	11
45	11
46	11
47	12
48	12
49	12
50	12
51	12
52	12
53	12
54	12
55	12
56	13
57	13
58	13
59	13
60	15
61	15
62	15
63	15
64	15
65	15
66	18
67	20
68	20
69	22
70	22
71	22
72	22
73	22
74	22
75	22
76	22
77	22
78	28
79	28
80	28
81	28
82	28
83	28
84	28
85	28
86	28
87	37
88	37
89	37
90	37
91	37
92	37
93	40
94	6
95	6
96	7
97	7
98	7
99	7
100	7
101	9
102	9
103	9
104	9
105	9
106	10
107	10
108	14
109	14
110	14
111	14
112	14
113	19
114	19
115	19
116	19
117	19
118	19
119	19
